Downloaded from wid.world on 10-11-2025 at 16:55:17
Percentile ;Year ;"gptinc_999_j_AL
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Albania";"gptinc_999_j_BA
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Bosnia and Herzegovina";"gptinc_999_j_BG
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Bulgaria";"gptinc_999_j_CZ
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Czech Republic";"gptinc_999_j_EE
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Estonia";"gptinc_999_j_HU
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Hungary";"gptinc_999_j_HR
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Croatia";"gptinc_999_j_LT
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Lithuania";"gptinc_999_j_LV
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Latvia";"gptinc_999_j_MK
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
North Macedonia";"gptinc_999_j_PL
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Poland";"gptinc_999_j_RO
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Romania";"gptinc_999_j_RU
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Russian Federation";"gptinc_999_j_SK
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Slovakia";"gptinc_999_j_SI
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Slovenia";"gptinc_999_j_UA
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Ukraine";"ghweal_999_j_AL
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Albania";"ghweal_999_j_BA
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Bosnia and Herzegovina";"ghweal_999_j_BG
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Bulgaria";"ghweal_999_j_CZ
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Czech Republic";"ghweal_999_j_EE
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Estonia";"ghweal_999_j_HU
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Hungary";"ghweal_999_j_HR
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Croatia";"ghweal_999_j_LT
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Lithuania";"ghweal_999_j_LV
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Latvia";"ghweal_999_j_MK
Net personal wealth
Total population | Gini coefficient | all ages | equal split
North Macedonia";"ghweal_999_j_PL
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Poland";"ghweal_999_j_RO
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Romania";"ghweal_999_j_RU
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Russian Federation";"ghweal_999_j_SK
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Slovakia";"ghweal_999_j_SI
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Slovenia";"ghweal_999_j_UA
Net personal wealth
Total population | Gini coefficient | all ages | equal split
Ukraine"
pall;1990;0.4538;0.4448;0.457;0.2379;0.4385;0.2955;0.4458;0.4028;0.4354;0.465;0.3456;0.3503;0.309;0.3278;0.3219;0.3092;0.7253000000000001;0.7247;0.7256;0.7231000000000001;0.8246;0.7445;0.7244;0.7239;0.7862;0.7259;0.8386;0.7235;0.6538;0.5762;0.6584;0.7334
pall;1991;0.4538;0.4465;0.457;0.2647;0.4762;0.3212;0.447;0.4212;0.4393;0.4668;0.3616;0.3574;0.3191;0.3272;0.3227;0.3923;0.7252000000000001;0.7248;0.7256;0.7232000000000001;0.8284;0.7446;0.7246;0.7246;0.7865000000000001;0.7262000000000001;0.8387;0.7236;0.6538;0.5762;0.6584;0.7334
pall;1992;0.4538;0.4485;0.457;0.2919;0.4946;0.3461;0.4485;0.4413;0.4445;0.4687;0.371;0.3685;0.4354;0.3267;0.3339;0.4753;0.7252000000000001;0.7250000000000001;0.7256;0.7234;0.8319000000000001;0.7448;0.7248;0.7260000000000001;0.7868;0.7265;0.8387;0.7237;0.6564;0.5762;0.6585000000000001;0.7334
pall;1993;0.4538;0.4507;0.457;0.3148;0.5171;0.3475;0.4501;0.462;0.4506;0.471;0.3752;0.385;0.4594;0.3426;0.3806;0.475;0.7252000000000001;0.7251000000000001;0.7256;0.7237;0.8335;0.7448;0.7294;0.7281000000000001;0.7873;0.7268;0.8388;0.7245;0.6581;0.5762;0.6587000000000001;0.7341000000000001
pall;1994;0.4538;0.453;0.4571;0.3381;0.5185000000000001;0.3589;0.4517;0.4814000000000001;0.4742;0.4734;0.3922;0.4105;0.5381;0.3498;0.3637;0.4824;0.7253000000000001;0.7253000000000001;0.7257;0.7242000000000001;0.8341000000000001;0.7449;0.7371000000000001;0.7287;0.79;0.727;0.8392000000000001;0.7255;0.6652;0.5763;0.6586000000000001;0.7349
pall;1995;0.4538;0.4561;0.4571;0.3371;0.5276000000000001;0.3378;0.4534;0.4814000000000001;0.4978;0.4763;0.4157;0.4856;0.5619000000000001;0.3509;0.392;0.5096;0.7252000000000001;0.7255;0.7257;0.7239;0.8352;0.7448;0.7409;0.7286;0.7938000000000001;0.7273000000000001;0.8406;0.7315;0.6668000000000001;0.5763;0.6589;0.7373000000000001
pall;1996;0.4538;0.4561;0.459;0.3429;0.5406000000000001;0.3061;0.4552;0.4873;0.4938;0.4764;0.4162;0.496;0.6343;0.3573;0.3988;0.4474;0.7253000000000001;0.7255;0.7260000000000001;0.7241000000000001;0.8365;0.7449;0.7257;0.7296;0.7923;0.7273000000000001;0.8405;0.7326;0.679;0.5763;0.659;0.7328
pall;1997;0.4578;0.4562;0.4628;0.3307;0.5417000000000001;0.3283;0.4587;0.4837;0.5109;0.4764;0.4142;0.4940000000000001;0.5923;0.3559;0.3966;0.4175;0.7255;0.7255;0.7266;0.7237;0.8370000000000001;0.7451;0.7264;0.7288;0.7942;0.7273000000000001;0.8404;0.7324;0.7127;0.5763;0.659;0.7297
pall;1998;0.458;0.4584;0.4663;0.3427;0.5307000000000001;0.3161;0.4671;0.4793;0.5028;0.4783;0.4233;0.4801;0.5636;0.3689;0.3979;0.376;0.7255;0.7257;0.727;0.7243;0.8360000000000001;0.7453000000000001;0.7267;0.7281000000000001;0.7933;0.7275;0.8413;0.7309;0.7297;0.5764;0.659;0.7260000000000001
pall;1999;0.462;0.4548;0.4692;0.3406;0.5347000000000001;0.351;0.4791;0.4763;0.509;0.4748;0.4144;0.4916;0.5816;0.3751;0.4106;0.3578;0.7257;0.7254;0.7272000000000001;0.7242000000000001;0.8364;0.7455;0.7271000000000001;0.7279;0.7937000000000001;0.727;0.8411000000000001;0.7325;0.7503000000000001;0.5764;0.6594;0.7249
