Downloaded from wid.world on 02-11-2025 at 17:17:45
Percentile ;Year ;"sptinc_z_AL
Pre-tax national income 
Top 1% | share
Albania";"sptinc_z_AM
Pre-tax national income 
Top 1% | share
Armenia";"sptinc_z_BY
Pre-tax national income 
Top 1% | share
Belarus";"sptinc_z_BG
Pre-tax national income 
Top 1% | share
Bulgaria";"sptinc_z_HR
Pre-tax national income 
Top 1% | share
Croatia";"sptinc_z_CS
Pre-tax national income 
Top 1% | share
Czechoslovakia";"sptinc_z_LT
Pre-tax national income 
Top 1% | share
Lithuania";"sptinc_z_PL
Pre-tax national income 
Top 1% | share
Poland";"sptinc_z_RU
Pre-tax national income 
Top 1% | share
Russian Federation";"sptinc_z_RS
Pre-tax national income 
Top 1% | share
Serbia";"sptinc_z_UA
Pre-tax national income 
Top 1% | share
Ukraine";"sptinc_z_SI
Pre-tax national income 
Top 1% | share
Slovenia"
p99p100;1990;0.0767;0.0734;0.0734;0.083;0.0472;;0.0637;0.054;0.0734;0.1241;0.0734;0.0426
p99p100;1991;0.0767;0.0922;0.0764;0.0831;0.051;;0.0708;0.0646;0.0839;0.1248;0.1032;0.0429
p99p100;1992;0.0767;0.111;0.0794;0.0831;0.055;;0.0811;0.0752;0.1013;0.1255;0.133;0.0483
p99p100;1993;0.0767;0.1299;0.0825;0.0832;0.0589;;0.0898;0.0809;0.1111;0.1262;0.1374;0.0565
p99p100;1994;0.0767;0.1487;0.1099;0.0832;0.0629;;0.0943;0.0954;0.1209;0.127;0.1406;0.0592
p99p100;1995;0.0767;0.1675;0.1199;0.0832;0.0669;;0.0933;0.1101;0.1378;0.1277;0.154;0.0644
p99p100;1996;0.0767;0.1863;0.1205;0.0859;0.0682;;0.0965;0.0896;0.1616;0.1279;0.1216;0.0659
p99p100;1997;0.0786;0.1809;0.1295;0.0906;0.072;;0.0926;0.0972;0.1523;0.1281;0.1085;0.0695
p99p100;1998;0.0791;0.174;0.1263;0.0946;0.0723;;0.0885;0.1084;0.1489;0.1284;0.0891;0.0724
p99p100;1999;0.0803;0.1701;0.1166;0.0978;0.0744;;0.0867;0.1059;0.1845;0.1283;0.0822;0.0772
p99p100;2000;0.0785;0.1552;0.1195;0.1009;0.0731;;0.0855;0.1042;0.2159;0.1289;0.0891;0.0726
p99p100;2001;0.079;0.1435;0.116;0.1041;0.0753;;0.0885;0.1001;0.2453;0.1277;0.1002;0.0688
p99p100;2002;0.0805;0.156;0.1172;0.1094;0.0769;;0.0893;0.1042;0.2391;0.1275;0.0967;0.0692
p99p100;2003;0.0808;0.1655;0.1034;0.1074;0.0754;;0.0916;0.1024;0.2325;0.125;0.1052;0.0751
p99p100;2004;0.0794;0.1836;0.0968;0.1109;0.0793;;0.0857;0.1295;0.2188;0.1245;0.1137;0.0756
p99p100;2005;0.0782;0.1787;0.0975;0.1112;0.0857;;0.0948;0.1354;0.2389;0.1269;0.0994;0.0741
p99p100;2006;0.0774;0.1276;0.0994;0.1061;0.0888;;0.0844;0.1425;0.247;0.1278;0.115;0.0773
p99p100;2007;0.0716;0.1248;0.1169;0.1013;0.0935;;0.1136;0.1569;0.259;0.1129;0.1015;0.0808
p99p100;2008;0.079;0.122;0.1142;0.0937;0.0928;;0.1168;0.1486;0.2375;0.1117;0.0963;0.0798
p99p100;2009;0.0813;0.1181;0.1103;0.1302;0.0849;;0.1092;0.1359;0.2058;0.1232;0.0835;0.0706
p99p100;2010;0.0821;0.1432;0.0969;0.13;0.0861;;0.0916;0.1311;0.1903;0.1311;0.0745;0.0712
